FCB_0000_CS,845664,L,2,866.6,20,VC_OI_STRD_BSE
FCB_0000_PS,845789,L,2,781.7,20,VC_OI_STRD_BSE
FCB_0001_CS,846220,L,2,982.95,20,VC_OI_STRD_BSE
FCB_0001_PS,845753,L,2,705.05,20,VC_OI_STRD_BSE
FCB_0000_CB,845664,L,1,885.15,20,VC_OI_STRD_BSE
FCB_0000_PB,845789,L,1,805.3,20,VC_OI_STRD_BSE
FCB_0002_CS,845664,L,2,852.9,20,VC_OI_STRD_BSE
FCB_0002_PS,845789,L,2,792.75,20,VC_OI_STRD_BSE
FCB_0003_CS,846181,L,2,1045.8,20,VC_OI_STRD_BSE
FCB_0003_PS,845716,L,2,673.85,20,VC_OI_STRD_BSE
FCB_0002_CB,845664,L,1,806.3,20,VC_OI_STRD_BSE
FCB_0002_PB,845789,L,1,888.2,20,VC_OI_STRD_BSE
FCB_0001_CB,846220,L,1,930.55,20,VC_OI_STRD_BSE
FCB_0001_PB,845753,L,1,796.25,20,VC_OI_STRD_BSE
FCB_0004_CS,846220,L,2,918.8,20,VC_OI_STRD_BSE
FCB_0004_PS,845753,L,2,764.25,20,VC_OI_STRD_BSE
FCB_0004_CB,846220,L,1,928.55,20,VC_OI_STRD_BSE
FCB_0004_PB,845753,L,1,799.0,20,VC_OI_STRD_BSE
FCB_0005_CS,846220,L,2,888.55,20,VC_OI_STRD_BSE
FCB_0005_PS,845753,L,2,793.5,20,VC_OI_STRD_BSE
FCB_0006_CS,845664,L,2,812.15,20,VC_OI_STRD_BSE
FCB_0006_PS,845789,L,2,831.2,20,VC_OI_STRD_BSE
FCB_0003_CB,846181,L,1,1119.2,20,VC_OI_STRD_BSE
FCB_0003_PB,845716,L,1,661.85,20,VC_OI_STRD_BSE
FCB_0006_CB,845664,L,1,876.35,20,VC_OI_STRD_BSE
FCB_0006_PB,845789,L,1,814.55,20,VC_OI_STRD_BSE
FCB_0007_CS,845664,L,2,838.6,20,VC_OI_STRD_BSE
FCB_0007_PS,845789,L,2,809.25,20,VC_OI_STRD_BSE
FCB_0007_CB,845664,L,1,868.0,20,VC_OI_STRD_BSE
